dept,year,section,venue,home_venue,day,period,subject,fa
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,MON,5,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,MON,6,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,MON,7,21PDM102L/GA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,TUE,1,21LEH101T/CE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,TUE,2,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,TUE,3,21CSC101T/OODP,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,TUE,4,21MES101L/WS,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,TUE,5,21MES101L/WS,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,WED,1,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,WED,3,21GNM101L/YOGA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,WED,6,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,WED,7,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,WED,8,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,1,21CSC101T/OODP,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,2,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,3,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,4,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,5,21LEH101T/CE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,THU,6,21LEM101T/ COI,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,FRI,1,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,FRI,2,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,FRI,3,21LEH101T/CE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,FRI,4,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE A,ADMIN 101,ADMIN 101,FRI,5,21CSC101T/OODP,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,MON,1,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,MON,2,21CSC101T/OODP,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,MON,3,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,MON,4,21MES101L/WS,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,MON,5,21MES101L/WS,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,TUE,5,21PDM102L/GA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,TUE,7,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,TUE,8,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,1,21LEH101T/CE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,2,21EES101T/BEEE,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,3,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,4,21MAB102T/ACCA,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,6,21CSC101T/OODP,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,WED,7,21LEM101T/ COI,FACULTY OF ENGINEERING AND TECHNOLOGY
CSE,I Year,I/II/CSE B,ADMIN 101,ADMIN 101,THU,1,21PYB102J/PHY,FACULTY OF ENGINEERING AND TECHNOLOGY
