programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,1,8:30-9:20,"21MES101T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,2,9:20-10:10,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,3,10:20-11:10,"21CYB101J
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,4,11:10-12:00,"21CSS101J
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,5,12:40-1:30,"21LEH101T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,6,1:30-2:20,"<--------------------21MES102L------------------>
(ADMIN - 7th Floor - CAD LAB)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,7,2:20-3:05,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,MON,8,3:05-3:50,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,1,8:30-9:20,"21CSS101J
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,2,9:20-10:10,"21BTB103T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,3,10:20-11:10,"21LEH101T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,4,11:10-12:00,"21MES101T
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,5,12:40-1:30,"21MAB102T 
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,6,1:30-2:20,"21CYB101J
(ADMIN 307)","ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,7,2:20-3:05,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
MECH,I Year,MECH A,"ADMIN - 7th Floor - CAD LAB, ADMIN 307, B-V - Chemistry Lab",,TUE,8,3:05-3:50,,"ADMIN - 7th Floor - CAD LAB; ADMIN 307; B-V - Chemistry Lab; BMS 7th Floor, Programming LAB"
