programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,21BTC304T       (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,21BTC306T                                                              (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,21BTC305L (Batch A),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,21BTC305L (Batch A),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21BTP302L,BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21BTP302L,BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,,BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21BTC306T         (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21LEM302T                                   (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21EIO132T                        (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21BTE202T / 21BTE409T             (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21PDM302L       (BLOCK III 401),BLOCK III 401; BLOCK III 403; BLOCK III 504
BIOTECH,III Year,III/VI/A,"Rotation: BLOCK III 401, BLOCK III 403, BLOCK III 504",FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,BLOCK III 401; BLOCK III 403; BLOCK III 504
