programme,year,section,venue,faculty,day,period,time,subject,rotation_venues
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,1,8:30-9:20,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,2,9:20-10:10,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,3,10:20-11:10,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,4,11:10-12:00,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,5,12:40-1:30,21EES101T/BEEE,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,6,1:30-2:20,21PYB102J/PHY,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,7,2:20-3:05,21PDM102L/GA,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,MON,8,3:05-3:50,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,1,8:30-9:20,21LEH101T/CE,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,2,9:20-10:10,21MAB102T/ACCA,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,3,10:20-11:10,21CSC101T/OODP,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,4,11:10-12:00,21MES101L/WS,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,5,12:40-1:30,21MES101L/WS,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,6,1:30-2:20,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,7,2:20-3:05,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,TUE,8,3:05-3:50,,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,1,8:30-9:20,21PYB102J/PHY,
CSE,I Year,I/II/CSE A,ADMIN 101,FACULTY OF ENGINEERING AND TECHNOLOGY,WED,2,9:20-10:10,,
